coin,mode,model_family,status,skip_reason,selected_for_production,includes_twitter,live_valid,feature_count,train_rows,validation_rows,test_rows,train_start_date,train_end_date,validation_start_date,validation_end_date,test_start_date,test_end_date,threshold,val_f1_class1,val_pr_auc,val_precision,val_recall,val_balanced_accuracy,val_roc_auc,test_f1_class1,test_pr_auc,test_precision,test_recall,test_balanced_accuracy,test_roc_auc,hyperparameters_json,trained_at_utc
Bitcoin,price_only,LogisticRegression,trained,,False,False,True,62,376,81,81,2022-01-01,2023-01-11,2023-01-12,2023-04-02,2023-04-03,2023-06-22,0.2,0.60177,0.507763,0.441558,0.944444,0.494444,0.493827,0.682927,0.635355,0.518519,1.0,0.5,0.543346,"{""C"": 0.5, ""class_weight"": ""balanced""}",2026-04-05T15:19:52.661345+00:00
Bitcoin,price_only,LogisticRegression,trained,,False,False,True,62,376,81,81,2022-01-01,2023-01-11,2023-01-12,2023-04-02,2023-04-03,2023-06-22,0.24,0.582524,0.505442,0.447761,0.833333,0.505556,0.490123,0.682927,0.638488,0.518519,1.0,0.5,0.545177,"{""C"": 1.0, ""class_weight"": ""balanced""}",2026-04-05T15:19:52.826984+00:00
Bitcoin,price_only,LogisticRegression,trained,,False,False,True,62,376,81,81,2022-01-01,2023-01-11,2023-01-12,2023-04-02,2023-04-03,2023-06-22,0.2,0.565657,0.499822,0.444444,0.777778,0.5,0.49321,0.682927,0.639744,0.518519,1.0,0.5,0.550672,"{""C"": 2.0, ""class_weight"": ""balanced""}",2026-04-05T15:19:52.998022+00:00
Bitcoin,price_only,RandomForest,trained,,False,False,True,62,376,81,81,2022-01-01,2023-01-11,2023-01-12,2023-04-02,2023-04-03,2023-06-22,0.2,0.615385,0.462598,0.444444,1.0,0.5,0.508642,0.682927,0.627659,0.518519,1.0,0.5,0.615995,"{""class_weight"": ""balanced_subsample"", ""max_depth"": 6, ""n_estimators"": 250}",2026-04-05T15:19:54.240732+00:00
Bitcoin,price_only,RandomForest,trained,,False,False,True,62,376,81,81,2022-01-01,2023-01-11,2023-01-12,2023-04-02,2023-04-03,2023-06-22,0.31,0.62069,0.462807,0.45,1.0,0.511111,0.516667,0.682927,0.59178,0.518519,1.0,0.5,0.583028,"{""class_weight"": ""balanced_subsample"", ""max_depth"": 8, ""n_estimators"": 400}",2026-04-05T15:19:56.214938+00:00
Bitcoin,price_only,RandomForest,trained,,False,False,True,62,376,81,81,2022-01-01,2023-01-11,2023-01-12,2023-04-02,2023-04-03,2023-06-22,0.29,0.62069,0.465804,0.45,1.0,0.511111,0.526543,0.688525,0.60352,0.525,1.0,0.512821,0.592796,"{""class_weight"": ""balanced_subsample"", ""max_depth"": 10, ""n_estimators"": 500}",2026-04-05T15:19:58.720771+00:00
Bitcoin,price_only,RandomForest,trained,,False,False,True,62,376,81,81,2022-01-01,2023-01-11,2023-01-12,2023-04-02,2023-04-03,2023-06-22,0.2,0.615385,0.478907,0.444444,1.0,0.5,0.542593,0.682927,0.580005,0.518519,1.0,0.5,0.583028,"{""class_weight"": ""balanced_subsample"", ""max_depth"": 12, ""n_estimators"": 600}",2026-04-05T15:20:01.702998+00:00
Bitcoin,price_only,RandomForest,trained,,True,False,True,62,376,81,81,2022-01-01,2023-01-11,2023-01-12,2023-04-02,2023-04-03,2023-06-22,0.33,0.626087,0.467955,0.455696,1.0,0.522222,0.521605,0.7,0.603742,0.538462,1.0,0.538462,0.601343,"{""class_weight"": ""balanced_subsample"", ""max_depth"": 8, ""n_estimators"": 300}",2026-04-05T15:20:03.285832+00:00
Bitcoin,price_only,XGBoost,trained,,False,False,True,62,376,81,81,2022-01-01,2023-01-11,2023-01-12,2023-04-02,2023-04-03,2023-06-22,0.24,0.58,0.484835,0.453125,0.805556,0.513889,0.519753,0.654206,0.559582,0.538462,0.833333,0.532051,0.543956,"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 250, ""scale_pos_weight"": 1.1363636363636365}",2026-04-05T15:20:04.336514+00:00
Bitcoin,price_only,XGBoost,trained,,False,False,True,62,376,81,81,2022-01-01,2023-01-11,2023-01-12,2023-04-02,2023-04-03,2023-06-22,0.21,0.574468,0.488918,0.465517,0.75,0.530556,0.525309,0.635514,0.564582,0.523077,0.809524,0.507326,0.549451,"{""learning_rate"": 0.03, ""max_depth"": 4, ""n_estimators"": 400, ""scale_pos_weight"": 1.1363636363636365}",2026-04-05T15:20:06.527944+00:00
Bitcoin,price_only,XGBoost,trained,,False,False,True,62,376,81,81,2022-01-01,2023-01-11,2023-01-12,2023-04-02,2023-04-03,2023-06-22,0.23,0.593407,0.489842,0.490909,0.75,0.563889,0.538889,0.634615,0.583501,0.532258,0.785714,0.521062,0.541514,"{""learning_rate"": 0.02, ""max_depth"": 5, ""n_estimators"": 500, ""scale_pos_weight"": 1.1363636363636365}",2026-04-05T15:20:09.876302+00:00
Bitcoin,price_only,XGBoost,trained,,False,False,True,62,376,81,81,2022-01-01,2023-01-11,2023-01-12,2023-04-02,2023-04-03,2023-06-22,0.2,0.594595,0.468629,0.44,0.916667,0.491667,0.52037,0.666667,0.597448,0.512821,0.952381,0.489011,0.59768,"{""learning_rate"": 0.01, ""max_depth"": 6, ""n_estimators"": 600, ""scale_pos_weight"": 1.1363636363636365}",2026-04-05T15:20:14.711029+00:00
Bitcoin,price_only,XGBoost,trained,,False,False,True,62,376,81,81,2022-01-01,2023-01-11,2023-01-12,2023-04-02,2023-04-03,2023-06-22,0.22,0.505747,0.482494,0.431373,0.611111,0.483333,0.507407,0.612245,0.584526,0.535714,0.714286,0.52381,0.552503,"{""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 300, ""scale_pos_weight"": 1.1363636363636365}",2026-04-05T15:20:16.315091+00:00
Bitcoin,price_only,LightGBM,trained,,False,False,True,62,376,81,81,2022-01-01,2023-01-11,2023-01-12,2023-04-02,2023-04-03,2023-06-22,0.2,0.561798,0.516788,0.471698,0.694444,0.536111,0.526543,0.586957,0.606486,0.54,0.642857,0.526557,0.54823,"{""class_weight"": ""balanced"", ""learning_rate"": 0.05, ""n_estimators"": 250, ""num_leaves"": 31}",2026-04-05T15:20:17.071854+00:00
Bitcoin,price_only,LightGBM,trained,,False,False,True,62,376,81,81,2022-01-01,2023-01-11,2023-01-12,2023-04-02,2023-04-03,2023-06-22,0.2,0.561798,0.521296,0.471698,0.694444,0.536111,0.53642,0.613861,0.61508,0.525424,0.738095,0.510073,0.543956,"{""class_weight"": ""balanced"", ""learning_rate"": 0.03, ""n_estimators"": 400, ""num_leaves"": 63}",2026-04-05T15:20:18.114655+00:00
